Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento,,UNICOS
ESPECIALISTA EN INNOVACIÓN Y CALIDAD,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-35,1,"S/. 9,000.00",20/04/2026,4/05/2026,0,,PROGRAMA DE COMPENSACIONES PARA LA COMPETITIVIDAD
ESPECIALISTA EN NUTRICIÓN,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-34,1,"S/. 9,000.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE OTUZCO
ESPECIALISTA EN VIGILANCIA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-27,4,"S/. 9,000.00",20/04/2026,4/05/2026,0,,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA
ESPECIALISTA IV EN SANEAMIENTO FÍSICO LEGAL,ORGANISMO DE ESTUDIOS Y DISEÑO DE PROYECTOS DE INVERSION ( OEDI),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 10,100.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA BAGUA
ASISTENTE ADMINISTRATIVO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 2,750.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL DE EDUCACION-HUARAZ
ASISTENTE ADMINISTRATIVO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 2,750.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA: UGEL CAYLLOMA
ASISTENTE DE EJECUCIÓN PRESUPUESTAL,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 2,100.00",20/04/2026,4/05/2026,0,,UGEL CASTILLA
ESPECIALISTA EN EL DESARROLLO DE PROYECTOS DE INVESTIGACIÓN PARA EL ÁREA DE ARQUITECTURAS E INGENIERÍAS,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL CARAVELÍ
"ESPECIALISTA EN EL DESARROLLO DE PROYECTOS DE INVESTIGACIÓN PARA EL ÁREA DE CIENCIAS ADMINISTRATIVAS, CONTABLES Y ECONÓMICAS",UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,INSTITUTO REGIONAL DE ENFERMEDADES NEOPLASICAS DEL SUR
ESPECIALISTA EN EL DESARROLLO DE PROYECTOS DE INVESTIGACIÓN PARA EL ÁREA DE CIENCIAS AGRARIAS,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE LURICOCHA
ESPECIALISTA EN EL DESARROLLO DE PROYECTOS DE INVESTIGACIÓN PARA EL ÁREA DE CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,ZONA REGISTRAL N° XIV-SEDE AYACUCHO
ESPECIALISTA EN EL DESARROLLO DE PROYECTOS DE INVESTIGACIÓN PARA EL ÁREA DE CIENCIAS SOCIALES Y EDUCACIÓN,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,HOSPITAL NACIONAL DOS DE MAYO
ESPECIALISTA EN GESTIÓN ACADÉMICA,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,100.00",20/04/2026,4/05/2026,0,,PROGRAMA DE GOBIERNO REGIONAL DE LIMA METROPOLITANA
"ESPECIALISTA EN GESTIÓN DEL CONOCIMIENTO, REDACCIÓN CIENTÍFICA Y PUBLICACIÓN CIENTÍFICA",UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,UNIVERSIDAD NACIONAL DE MUSICA
"ESPECIALISTA EN GESTIÓN, SEGUIMIENTO Y MONITOREO DE EJECUCIÓN PRESUPUESTAL DE PROYECTOS",UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL AGRARIA MOQUEGUA
ESPECIALISTA EN INNOVACIÓN TECNOLÓGICA,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE PALLANCHACRA
ESPECIALISTA EN LABORATORIO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,100.00",20/04/2026,4/05/2026,0,,ZONA REGISTRAL I- SEDE PIURA
ESPECIALISTA EN REDACCIÓN DE PATENTES - CATI,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,DIREC. REGIONAL DE PESQUERIA SAN MARTIN
GESTOR COMERCIAL DE PATENTES,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,600.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL LAMAS
SECRETARIA,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,700.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL DE AGRICULTURA TACNA
SECRETARIA/O,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,700.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE ILABAYA
